,Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year
0, Enjoying a beautiful day at the park!              ,Positive, User123      ,Twitter, #Nature #Park                            ,15.0,30.0,USA,2023
1, Traffic was terrible this morning.                 ,Negative, CommuterX    ,Twitter, #Traffic #Morning                        ,5.0,10.0,Canada,2023
2, Just finished an amazing workout! 💪               ,Positive, FitnessFan   ,Instagram, #Fitness #Workout                        ,20.0,40.0,USA,2023
3, Excited about the upcoming weekend getaway!        ,Positive, AdventureX   ,Facebook, #Travel #Adventure                       ,8.0,15.0,UK,2023
4, Trying out a new recipe for dinner tonight.        ,Neutral, ChefCook     ,Instagram, #Cooking #Food                           ,12.0,25.0,Australia,2023
5, Feeling grateful for the little things in life.    ,Positive, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25.0,50.0,India,2023
6, Rainy days call for cozy blankets and hot cocoa.   ,Positive, RainyDays    ,Facebook, #RainyDays #Cozy                         ,10.0,20.0,Canada,2023
7, The new movie release is a must-watch!             ,Positive, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,15.0,30.0,USA,2023
8, Political discussions heating up on the timeline.  ,Negative, DebateTalk   ,Twitter, #Politics #Debate                       ,30.0,60.0,USA,2023
9, Missing summer vibes and beach days.               ,Neutral, BeachLover   ,Facebook, #Summer #BeachDays                      ,18.0,35.0,Australia,2023
10, Just published a new blog post. Check it out!      ,Positive, BloggerX     ,Instagram, #Blogging #NewPost                      ,22.0,45.0,USA,2023
11, Feeling a bit under the weather today.             ,Negative, WellnessCheck,Twitter, #SickDay #Health                        ,7.0,15.0,Canada,2023
12, Exploring the city's hidden gems.                  ,Positive, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,12.0,25.0,UK,2023
13," New year, new fitness goals! 💪                    ",Positive, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,28.0,55.0,USA,2023
14, Technology is changing the way we live.            ,Neutral, TechEnthusiast,Twitter, #Tech #Innovation                       ,15.0,30.0,India,2023
